ps_number,mfg_part_number,name,brand,appliance_type,price,in_stock,rating,review_count,installation_difficulty,source_url
PS11753651,WPW10356019,Maytag Refrigerator Drip Tray - Gray,Whirlpool,refrigerator,47.52,True,3.0,2,,https://www.partselect.com/PS11753651-Whirlpool-WPW10356019-Drip-Tray-Gray.htm
PS11752812,WPW10322873,Maytag Refrigerator Drip Tray - Black,Whirlpool,refrigerator,63.95,False,,,,https://www.partselect.com/PS11752812-Whirlpool-WPW10322873-Drip-Tray-Black.htm
PS11753650,WPW10356018,Maytag Refrigerator Drip Tray - Black,Whirlpool,refrigerator,34.35,True,5.0,1,,https://www.partselect.com/PS11753650-Whirlpool-WPW10356018-Drip-Tray-Black.htm
PS4082776,W10445057,Maytag Refrigerator Drip Tray - White,Whirlpool,refrigerator,36.21,True,,,,https://www.partselect.com/PS4082776-Whirlpool-W10445057-Drip-Tray-White.htm
PS4169414,DA97-00441F,Maytag Refrigerator Evaporator Drip Pan and Heater,Samsung,refrigerator,94.4,True,,,Very Easy,https://www.partselect.com/PS4169414-Samsung-DA97-00441F-Evaporator-Drip-Pan-and-Heater.htm
PS12114462,W11126274,Maytag Refrigerator AIR-TOWER,Whirlpool,refrigerator,94.21,True,,,,https://www.partselect.com/PS12114462-Whirlpool-W11126274-AIR-TOWER.htm
PS2348444,W10182888,Maytag Refrigerator INSULATOR,Whirlpool,refrigerator,14.74,False,,,,https://www.partselect.com/PS2348444-Whirlpool-W10182888-INSULATOR.htm
PS11738971,WP2169104,"Maytag Refrigerator Insulation, Sound Dampening",Whirlpool,refrigerator,16.78,True,,,,https://www.partselect.com/PS11738971-Whirlpool-WP2169104-Insulation-Sound-Dampening.htm
PS4216747,DC96-00757C,Maytag Refrigerator Power Cord Assembly,Samsung,refrigerator,64.9,True,,,,https://www.partselect.com/PS4216747-Samsung-DC96-00757C-Power-Cord-Assembly.htm
PS11755616,WPW10494227,Maytag Refrigerator Power Cord,Whirlpool,refrigerator,32.51,False,,,,https://www.partselect.com/PS11755616-Whirlpool-WPW10494227-Power-Cord.htm
PS3516636,W10367947,Maytag Refrigerator POWER CORD,Whirlpool,refrigerator,46.38,False,,,,https://www.partselect.com/PS3516636-Whirlpool-W10367947-POWER-CORD.htm
PS11750269,WPW10204676,Maytag Refrigerator Power Cord,Whirlpool,refrigerator,55.44,False,,,,https://www.partselect.com/PS11750269-Whirlpool-WPW10204676-Refrigerator-Power-Cord.htm
PS11751406,WPW10261232,Maytag Refrigerator Power Cord,Whirlpool,refrigerator,43.96,False,,,,https://www.partselect.com/PS11751406-Whirlpool-WPW10261232-Power-Cord.htm
PS2356542,2310196,Maytag Refrigerator CORD-POWER,Whirlpool,refrigerator,38.58,False,,,,https://www.partselect.com/PS2356542-Whirlpool-2310196-CORD-POWER.htm
PS1957411,W10123575,Maytag Refrigerator CORD-POWER,Whirlpool,refrigerator,79.82,False,,,,https://www.partselect.com/PS1957411-Whirlpool-W10123575-CORD-POWER.htm
